date/time	settlement id	type	order id	sku	description	quantity	marketplace	account type	fulfillment	order city	order state	order postal	tax collection model	product sales	product sales tax	shipping credits	shipping credits tax	gift wrap credits	giftwrap credits tax	Regulatory Fee	Tax On Regulatory Fee	promotional rebates	promotional rebates tax	marketplace withheld tax	selling fees	fba fees	other transaction fees	other	total
Jan 1, 2022 6:00:00 AM PST	20000000001	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-545.5	0	-545.5
Jan 2, 2022 6:00:00 AM PST	20000000001	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-233.72	0	-233.72
Jan 6, 2022 6:00:00 AM PST	20000000001	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-525.65	0	-525.65
Jan 6, 2022 2:54:09 PM PST	20000000001	Order	111-2362693-1762722	WX-1002-WHT	Premium Wireless Headphones White	1	amazon.com	Standard Orders	Amazon	INDIANAPOLIS	IN	89316	MarketplaceFacilitator	79.99	5.35	0	0	0	0	0	0	-0.0	0	-5.35	-11.57	-2.58	0	0	65.84
Jan 7, 2022 10:00:00 AM PST	20000000001	FBA Inventory Fee			FBA storage fee		Amazon.com	Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	0	-92.69	-92.69
Jan 8, 2022 5:56:46 AM PST	20000000001	Order	111-5859883-6068298	CB-4401-USB	USB-C Hub 7-in-1 Adapter	1	amazon.com	Standard Orders	Amazon	PHILADELPHIA	PA	84991	MarketplaceFacilitator	39.99	2.83	0	0	0	0	0	0	-4.0	0	-2.83	-4.99	-3.5	0	0	27.5
Jan 9, 2022 6:00:00 AM PST	20000000001	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-399.29	0	-399.29
Jan 11, 2022 8:01:16 AM PST	20000000001	Order	111-4422938-6707484	SL-5501-GRY	Laptop Stand Adjustable Grey	1	amazon.com	Standard Orders	Amazon	BOSTON	MA	19564	MarketplaceFacilitator	34.99	2.95	0	0	0	0	0	0	-1.75	0	-2.95	-3.19	-3.33	0	0	26.72
Jan 12, 2022 9:49:27 AM PST	20000000001	Order	111-2781470-6353876	KB-2201-RGB	Mechanical Gaming Keyboard RGB	2	amazon.com	Standard Orders	Amazon	DETROIT	MI	55268	MarketplaceFacilitator	239.98	23.7	0	0	0	0	0	0	-24.0	0	-23.7	-21.4	-6.48	0	0	188.1
Jan 13, 2022 6:00:00 AM PST	20000000001	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-239.5	0	-239.5
Jan 13, 2022 5:19:48 PM PST	20000000001	Order	111-8015136-5165284	WX-1001-BLK	Premium Wireless Headphones Black	1	amazon.com	Standard Orders	Amazon	COLUMBUS	OH	28465	MarketplaceFacilitator	79.99	4.39	0	0	0	0	0	0	-8.0	0	-4.39	-8.02	-3.27	0	0	60.7
Jan 16, 2022 6:00:00 AM PST	20000000002	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-412.74	0	-412.74
Jan 20, 2022 6:00:00 AM PST	20000000002	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-507.82	0	-507.82
Jan 20, 2022 9:04:56 AM PST	20000000002	Order	111-8831858-9367799	WX-1002-WHT	Premium Wireless Headphones White	2	amazon.com	Standard Orders	Amazon	SALT LAKE CITY	UT	85718	MarketplaceFacilitator	159.98	13.77	0	0	0	0	0	0	-16.0	0	-13.77	-14.92	-5.64	0	0	123.42
Jan 24, 2022 6:00:00 AM PST	20000000002	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-386.88	0	-386.88
Jan 25, 2022 3:46:07 AM PST	20000000002	Order	111-1847927-5720376	MS-3301-ERG	Ergonomic Wireless Mouse	1	amazon.com	Standard Orders	Amazon	RICHMOND	VA	76249	MarketplaceFacilitator	59.99	4.37	0	0	0	0	0	0	-0.0	0	-4.37	-5.81	-3.67	0	0	50.51
Jan 28, 2022 6:00:00 AM PST	20000000002	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-469.05	0	-469.05
Jan 29, 2022 6:00:00 AM PST	20000000003	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-253.6	0	-253.6
Jan 29, 2022 11:26:05 PM PST	20000000003	Order	111-7136730-7765480	SL-5501-GRY	Laptop Stand Adjustable Grey	1	amazon.com	Standard Orders	Amazon	CHARLOTTE	NC	80345	MarketplaceFacilitator	34.99	1.76	0	0	0	0	0	0	-0.0	0	-1.76	-3.06	-2.77	0	0	29.16
Jan 31, 2022 6:00:00 AM PST	20000000003	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-376.04	0	-376.04
Jan 31, 2022 8:59:48 AM PST	20000000003	Order	111-5692934-2993318	MS-3301-ERG	Ergonomic Wireless Mouse	1	amazon.com	Standard Orders	Amazon	MINNEAPOLIS	MN	35513	MarketplaceFacilitator	59.99	4.09	0	0	0	0	0	0	-3.0	0	-4.09	-6.01	-3.27	0	0	47.71
Feb 2, 2022 6:00:00 AM PST	20000000003	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-347.95	0	-347.95
Feb 3, 2022 5:50:04 PM PST	20000000003	Order	111-9541658-7734157	WX-1001-BLK	Premium Wireless Headphones Black	1	amazon.com	Standard Orders	Amazon	BIRMINGHAM	AL	54444	MarketplaceFacilitator	79.99	6.23	0	0	0	0	0	0	-8.0	0	-6.23	-8.45	-2.79	0	0	60.75
Feb 5, 2022 6:00:00 AM PST	20000000003	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-362.51	0	-362.51
Feb 7, 2022 10:00:00 AM PST	20000000003	FBA Inventory Fee			FBA storage fee		Amazon.com	Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	0	-254.1	-254.1
Feb 9, 2022 6:00:00 AM PST	20000000003	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-435.69	0	-435.69
Feb 11, 2022 12:24:30 AM PST	20000000003	Order	111-3345135-6502353	WX-1001-BLK	Premium Wireless Headphones Black	1	amazon.com	Standard Orders	Amazon	BALTIMORE	MD	53652	MarketplaceFacilitator	79.99	7.21	0	0	0	0	0	0	-8.0	0	-7.21	-9.31	-2.8	0	0	59.88
Feb 12, 2022 1:09:15 AM PST	20000000003	Order	111-6029651-8967375	KB-2201-RGB	Mechanical Gaming Keyboard RGB	1	amazon.com	Standard Orders	Amazon	MILWAUKEE	WI	49221	MarketplaceFacilitator	119.99	9.56	0	0	0	0	0	0	-6.0	0	-9.56	-13.86	-3.52	0	0	96.61
Feb 12, 2022 6:00:00 AM PST	20000000004	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-277.26	0	-277.26
Feb 13, 2022 3:52:17 AM PST	20000000004	Order	111-8962302-5454861	KB-2201-RGB	Mechanical Gaming Keyboard RGB	1	amazon.com	Standard Orders	Amazon	NEW YORK	NY	64596	MarketplaceFacilitator	119.99	9.5	0	0	0	0	0	0	-0.0	0	-9.5	-16.29	-3.95	0	0	99.75
Feb 13, 2022 6:00:00 AM PST	20000000004	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-217.17	0	-217.17
Feb 13, 2022 7:50:21 AM PST	20000000004	Order	111-7378535-3479264	CB-4401-USB	USB-C Hub 7-in-1 Adapter	1	amazon.com	Standard Orders	Amazon	INDIANAPOLIS	IN	16731	MarketplaceFacilitator	39.99	3.17	0	0	0	0	0	0	-4.0	0	-3.17	-3.68	-3.76	0	0	28.55
Feb 14, 2022 6:00:00 AM PST	20000000004	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-297.52	0	-297.52
Feb 17, 2022 6:00:00 AM PST	20000000004	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-265.09	0	-265.09
Feb 18, 2022 6:00:00 AM PST	20000000004	Service Fee			Cost of Advertising			Standard Orders						0	0	0	0	0	0	0	0	0	0	0	0	0	-382.63	0	-382.63
